gs,Genus,genus,family,order,Spermatophyta,Angiospermae,Mesangiospermae,Monocotyledoneae,Nartheciidae,Petrosaviidae,Commelinidae,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,Lamiidae,Superrosidae,Rosidae,Malvidae,Fabidae,Magnoliidae,Acrogymnospermae,Cycadophyta,Coniferae,Cupressophyta,Gnetophyta
Achillea_acuminata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_ageratum,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_alpina,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_apiculata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_asiatica,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_aspleniifolia,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_atrata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_biebersteinii,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_biserrata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_chamaemelifolia,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_clavennae,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_clusiana,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_clypeolata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_coarctata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_collina,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_cretica,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_crithmifolia,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_cuspidata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_distans,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_erba_rotta,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_euxina,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_filipendulina,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_formosa,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_fraasii,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
