"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","parsimony.score.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","parsimony.score.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"72","random_67_taxa","Scaevola_RandomTwin",0.0213768065109736,0.0547021411156838,47.5,19.5,67,105,2091.053322,15,0.0381383596192544,0.711181240747431,0.577651133918343,1.42162042753472,4.72956529490691,4.72956529490691,0,2.95928867769408,145.924869605723,3.02775044005822,0.999295212985822,0.0671519162091604,0
"26","genus","Schefflera",0.0199541929255224,0.0537920827019224,80,29,109,44.568447,452.203858,7,0.041044794860774,0.758249960073125,0.0148249790971152,0.473299900185209,18.0046991621408,18.0046991621408,0,0,0,2.64315391649117,0.23924578079212,0.208725857133443,0
"73","random_109_taxa","Schefflera_RandomTwin",0.0202208665275495,0.0473053730399018,78,31,109,105,2932.072674,23,0.0341662328589935,0.706335905439712,0.017154079458928,0.059378521572809,6.87001242408416,6.87001242408416,0,2.47148046725216,153.41599550874,3.66389702559193,0.0377750414366984,0.0563449902584308,0
"27","genus","Senecio",0.0184913725657928,0.0475181870875103,224.5,36.5,261,30.860007,823.204222,15.5,0.0332385314760103,0.679724779220787,0.0181335449126492,0.131348838818815,73.3298146538754,73.3298146538754,0,0,0,6.69690113772668,0.0678671858131677,0.324991379759873,0
"74","random_261_taxa","Senecio_RandomTwin",0.0195463911640345,0.0471299844253755,187,74,261,105.000001,5339.281365,48,0.0331477663436704,0.708055955138719,0.00505337168179916,0.0135433708829334,15.5481526396241,15.5481526396241,0,7.12018044995537e-07,195.346088222956,6.86225218499765,0.00854665335189962,0.0461987635323022,0
"28","genus","Stevia",0.0255868314837802,0.0390175401460163,73,5,78,7.358961,109.709763,2,0.0303202140679863,0.569904559041953,0.359122758485252,1.88814043886553,29.3754243468168,29.3754243468168,0,0,0,1.87624706003848,0.962747384542914,0.451107058574715,15
"75","random_78_taxa","Stevia_RandomTwin",0.0197721146855799,0.0426672114073691,55,23,78,105,2350.1856075,16,0.0308969960512228,0.699549665266337,1.50155333195498,3.39809511331235,5.92016755154648,5.92016755154648,0,2.81209898744842,164.283882543532,3.40046045604582,2.42259195338997,0.0886002388021289,0
"29","genus","Symphyotrichum",0.0199276036527308,0.0303938141421153,47,3,50,10.54821,107.924273,2,0.0240744474392675,0.713085109692891,0.820938622043699,10.7299370440096,19.0408253577157,19.0408253577157,0,0,0,1.695478240688,5.48304750417131,0.44398671523565,13
"76","random_50_taxa","Symphyotrichum_RandomTwin",0.0229700829300479,0.0534444316553291,35.5,14.5,50,104.999999,1694.284767,11,0.0387883182319692,0.703854245610463,0.382716269580143,1.12041094400501,4.21296699596507,4.21296699596507,0,3.17061661644093,139.272378908513,2.48979736305807,0.747519138123686,0.142156853816708,0
"30","genus","Taraxacum",0.0219168270707904,0.044853714973547,57,6,63,10.351558,148.542825,3,0.0229673304519474,0.650174740268154,0.158767009985724,1.24370067479644,22.9219558634524,22.9219558634524,0,0,0,1.90809016579618,0.652695351467207,0.434145364127292,4
"77","random_63_taxa","Taraxacum_RandomTwin",0.0273300315626536,0.0616599846160523,45,18,63,104.999999,1996.6680255,14,0.043846438618659,0.701482493652728,0.898383299722907,2.41525401643324,4.51729560643972,4.51729560643972,0,3.11647465289694,139.159550094406,2.78703709296733,1.65263237782918,0.0719194749595146,0
"31","genus","Valeriana",0.0199719217352896,0.0417476238517683,84,31,115,30.861115,1092.923132,18,0.0307092345945193,0.676219511794055,0.018112264574471,0.123632829479396,18.7667097259854,18.7667097259854,0,0,0,5.78464529700147,0.0668452430070683,0.261019044211053,0
"78","random_115_taxa","Valeriana_RandomTwin",0.0188388395981228,0.042320398084001,81,34,115,105,3072.8908525,24,0.0306971576352174,0.708770955909833,0.0127314791839482,0.0297666089183445,7.82001446690646,7.82001446690646,0,2.44129261447018,169.035369083876,4.26376558568796,0.0206061123317226,0.0769606619416474,0
"32","genus","Viburnum",0.0220364805000422,0.0515967756041266,94.5,24.5,119,47.8,354.892365,6,0.037188040482201,0.696707076959645,0.0210855809477092,1.35679726165392,26.2170428029809,26.2170428029809,0,0,0,2.38554146491066,0.683365770857351,0.301204055013277,0
"79","random_119_taxa","Viburnum_RandomTwin",0.0208292114771282,0.0468240965534559,84.5,34.5,119,105,3103.896297,25,0.0353047399442813,0.694635797277879,0.0654838562234484,0.219299973536453,7.99036667468769,7.99036667468769,0,2.29927610518003,191.442452371766,4.15842821899396,0.142231134935069,0.0617371264679069,0
"33","genus","Wahlenbergia",0.0211716723822709,0.0527060796915593,53,18,71,45.937651,638.440577,9,0.0384911330452766,0.69818245113929,0.0191782507060407,0.0877402200759446,12.7144990010808,12.7144990010808,0,0,0,3.10587582598929,0.0488867845335291,0.278035801728323,0
"80","random_71_taxa","Wahlenbergia_RandomTwin",0.0202690732264883,0.0458015801504577,50,21,71,105,2182.427233,16,0.033426147880763,0.700589897718733,0.0319014998757294,0.0933457449906968,5.56731986731951,5.56731986731951,0,2.74368309882223,140.537826100939,3.25632252143985,0.0618270644454412,0.113810299737316,0
