"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","parsimony.score.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","parsimony.score.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"57","random_75_taxa","Erigeron_RandomTwin",0.00204876219977242,0.00252395797638488,8,67,75,105,2279.77656,4,0.00258003222623772,0.598124044847682,0.134376873585779,0.00841228139354362,15.5864613616362,15.5864613616362,0,2.5145902353573,136.890402637524,1.96481679820411,0.070768278640935,0.437471588033463,2
"11","genus","Eryngium",0.0199256675365594,0.00736921884639426,1,129,130,15.797949,225.101862,0,0.0127122453074216,0.182155170751336,2.02176157555966,1.01095297410982,47.1998491266207,47.1998491266207,0,0,0,0.775639195513069,1.11862694441766,0.452691769857679,54
"58","random_130_taxa","Eryngium_RandomTwin",2.06115362243856e-09,0.00240350985191016,13,117,130,105,3334.755611,6,0.00154554164714457,0.999998364490016,0.08727168179272,0.00434745168224559,27.5485448478195,27.5485448478195,0,2.189120753136,186.424102044229,1.98265203475272,0.0456564467308448,0.413113745631459,0
"12","genus","Ferula",0.038040239569671,0.0183648801815098,0,75,75,5.359413,113.352081,0,0.0715445468012488,0.274720046295445,1.78552172808991,1.33001051487024,29.159609535843,29.159609535843,0,0,0,0.504124403437697,1.0430542602899,0.482914819214664,82
"59","random_75_taxa","Ferula_RandomTwin",0.000809982240262654,0.00255089717820444,8,67,75,105,2285.655497,4,0.00196549617490964,0.814483014919598,0.167531072762729,0.00937877237987433,16.0241326842618,16.0241326842618,0,2.93062601405298,145.37294971763,1.76666666666667,0.0881498290248759,0.448056547830086,0
"13","genus","Goodenia",2.06115362243856e-09,0.00267850542222521,3,84,87,25.144079,792.299191,1,0.00215945226661513,0.999998379113962,0.243578193450142,0.170175260926463,29.1454364291644,29.1454364291644,0,0,0,1.20420139931035,0.144229293795475,0.462646273256104,25
"60","random_87_taxa","Goodenia_RandomTwin",0.000458109106596743,0.00256137030174906,8,79,87,105,2506.3958815,5,0.00217148830726677,0.887061691047377,0.0944728836894566,0.00480670751453927,18.5932430433393,18.5932430433393,0,2.84245540176525,156.62304546549,2.05667182357784,0.0493393738055665,0.424659278184416,0
"41","family","Goodeniaceae",2.06115362243856e-09,0.00211197142306866,12,223,235,65.975028,1965.710612,3,0.00157392557553052,0.99999812435916,0.122741902507083,0.225735785989215,64.0244555548183,64.0244555548183,0,0,0,1.8645821694596,0.126878464070769,0.427790397540393,3
"88","random_235_taxa","Goodeniaceae_RandomTwin",2.06115362243856e-09,0.00229313165827518,26.5,208.5,235,105,4978.296905,9,0.00146000017482937,0.999997992835115,0.0160725951692835,0.000995798574378104,49.1875240813412,49.1875240813412,0,1.18557233688956,206.449800634143,3.00805316415515,0.00829430600444427,0.343744725744313,0
"14","genus","Helichrysum",0.0185267627772945,0.00512488004718809,1,164,165,14.06713,398.066526,1,0.0131832354979455,0.129885590790801,13.7318943006207,0.169533544619717,58.4178772623448,58.4178772623448,0,0,0,0.77661529287757,6.90470130460787,0.480114698026802,46
"61","random_165_taxa","Helichrysum_RandomTwin",0.000701913612040698,0.00217173904107513,17,148,165,105,3935.5342155,7,0.00162143220245302,0.767611615364558,0.154403862006329,0.00567914560404514,34.669749280194,34.669749280194,0,1.67597496004731,203.266837572008,2.22154282543743,0.0799025102495583,0.393086961351568,0
"15","genus","Ilex",0.00131716033484392,0.00305304188536261,3,136,139,61.6,786.523452,1,0.00251543071140334,0.697872872812386,0.671492850076485,0.043336730116057,41.1873019070664,41.1873019070664,0,0,0,1.16562724259811,0.337861045375674,0.459436614625484,22
"62","random_139_taxa","Ilex_RandomTwin",0.000430968511822442,0.00239120381396117,16,123,139,105,3472.083623,7,0.00166723335579347,0.882159800743317,0.0357165862466943,0.00141168993795305,28.8603236785086,28.8603236785086,0,2.18766918650797,187.566409975477,2.40991219086438,0.0182254727419945,0.39499637045336,0
"16","genus","Lobelia",0.00155046783304534,0.00286971285883944,5,77,82,64.795536,1086.720907,2,0.00220923079747608,0.587540782933206,0.165219871491882,0.0519213537383638,25.7866459841351,25.7866459841351,0,0,0,1.20587786037451,0.0876781869107771,0.435092961149712,13
"63","random_82_taxa","Lobelia_RandomTwin",0.00121403404456538,0.00241094062754844,9,73,82,105,2403.7643475,4,0.00215418083480635,0.642913707425692,0.1226200919812,0.00688347128938847,17.3245286495562,17.3245286495562,0,2.69838435644051,155.652473568537,1.88612691711739,0.0645438393522664,0.421212524442375,1
"17","genus","Lomatium",0.00813336692310173,0.00754555331760319,0,53,53,5.37804,147.673749,0,0.0405198825901728,0.942156669513505,0.967574744656119,0.35385034483262,19.7887836815697,19.7887836815697,0,0,0,0.541229427257326,0.502433834189297,0.494789913301833,73
"64","random_53_taxa","Lomatium_RandomTwin",0.00254623647291225,0.0021826978247956,6,47,53,104.999999,1767.8094235,3,0.00301133064208,0.545553509676117,0.647675043421594,0.037045350808108,11.3799176294262,11.3799176294262,0,3.0949066871383,139.25768663893,1.69383910366094,0.34117745084957,0.452691205321171,2
"18","genus","Lonicera",0.0354462446368325,0.00578519300986171,1,80,81,18.852164,338.380197,0,0.0333977677513166,0.0373195372479932,1.22935051601261,0.0703979538240552,27.0548918260113,27.0548918260113,0,0,0,0.703454678603025,0.622090417058239,0.458011449408209,59
"65","random_81_taxa","Lonicera_RandomTwin",0.00215228683604402,0.00215133596097473,9,72,81,105,2409.513839,4,0.0021539716408679,0.560947884013119,0.151115647144116,0.0063110806384335,16.9118331652752,16.9118331652752,0,2.7467878884343,146.971850848225,2.12961323372403,0.0784742692760009,0.435346987752729,0
"19","genus","Metalasia",2.06115362243856e-09,0.0226533773404676,0,51,51,2.837427,48.954814,0,0.0113266897008106,0.999999900756182,3.13415349750891,0.0557021718314537,18.7344548354042,18.7344548354042,0,0,0,0.366666666666667,1.59445786566717,0.44262945792443,88
"66","random_51_taxa","Metalasia_RandomTwin",0.000472652813456468,0.0025393595690214,5,46,51,104.999999,1707.2410125,3,0.00204182584634394,0.931561855678801,0.0572918446393568,0.00371873140098749,10.9658560997307,10.9658560997307,0,3.17061649098297,151.155419980737,1.65144564768954,0.0298706915073867,0.441037095392481,4
"20","genus","Olearia",0.0120341238796359,0.00775390914048573,1,63,64,15.625173,209.916717,0,0.00822938577959731,0.0334990217474017,3.18906594005347,0.0496834417506587,23.8396071420413,23.8396071420413,0,0,0,0.587667878442863,1.61930606986711,0.452473795717704,64
"67","random_64_taxa","Olearia_RandomTwin",0.00052132281986136,0.00239551532990135,7,57,64,105,2024.334321,3,0.00193057639751446,0.805641725220182,1.80491804420168,0.0580136621598527,14.714604852309,14.714604852309,0,2.90843145183717,147.875127208594,1.73178835574412,0.931453747682834,0.434123022794912,2
"21","genus","Pectis",0.100070880387017,0.0131472605268321,0,55,55,11.084099,108.804497,0,0.0500354412240851,0.0258544729642806,1.26500004046278,0.0264426431135859,20.7696627052268,20.7696627052268,0,0,0,0.512470743190538,0.643885943826279,0.455888165497828,84
"68","random_55_taxa","Pectis_RandomTwin",0.000640047218414182,0.00218177956684031,5,50,55,105,1810.384383,3,0.00212411740861679,0.822055264837438,0.121778921252411,0.00607244558170156,11.8310454467742,11.8310454467742,0,2.93062611708137,131.399673296779,1.42485157830632,0.0635131518957024,0.439440454219269,4
"22","genus","Pimpinella",0.0125722667804528,0.0080373637260827,1,55,56,27.195876,264.469925,0,0.00947439888026493,0.14859418333251,0.587615499739916,0.0114957827805401,21.3082143784973,21.3082143784973,0,0,0,0.571724310195646,0.299363237753703,0.448076928060466,62
"69","random_56_taxa","Pimpinella_RandomTwin",0.00212725276424384,0.00241751220574838,5,51,56,104.999999,1842.198641,3,0.00258558623741892,0.556082444285467,0.284850910029409,0.0111332993951092,11.6133804751505,11.6133804751505,0,3.07044556147918,140.82089167585,1.56036773702467,0.1477593303495,0.434879275119232,2
"43","family","Pittosporaceae",0.00416497761586773,0.00361979339225324,2,62,64,46.605784,681.487404,1,0.00519515966265798,0.266678744569877,0.300982658081954,0.0060273243996752,20.3889923758142,20.3889923758142,0,0,0,1.02784466066845,0.152986984425262,0.465079392098071,27
"90","random_64_taxa","Pittosporaceae_RandomTwin",2.06115362243856e-09,0.00251445340912841,7,57,64,104.999999,2008.407667,3.5,0.001672956425076,0.999998004290255,0.112325844209395,0.00422227383034569,13.6303101041522,13.6303101041522,0,3.00595981434921,151.050110669786,1.59936856227069,0.0580345678212034,0.412260916990243,0
"23","genus","Polyscias",0.00293781995744022,0.0059748754787003,1,93,94,11.675323,342.659776,0,0.00453106382075623,0.988844892233376,2.2046693500498,0.26617785869136,32.6958604861425,32.6958604861425,0,0,0,0.749140922131558,1.11403132126175,0.48272387087424,51
"70","random_94_taxa","Polyscias_RandomTwin",0.00104164348284313,0.00230101080378133,10,84,94,105,2657.013125,5,0.00173825582033032,0.741876520419632,0.150554597360511,0.0097807210658649,19.99423149134,19.99423149134,0,2.57280699645061,158.075495062649,1.80470764861506,0.0799702362321676,0.42177826781837,0
