"","median.avg.rate","sd.avg.rate","ntax","sims.with.variation","median.fraction.rate.01"
"Brunia",0.0421436941832397,0.334559242968951,27,80,0.209160322344928
"Dahlia",0.0582269990236981,1.27883008778187,27,57,0.133324716258554
"Diplostephium",0.045201723546118,0.619771609721988,26,55,0.370710086837907
"Filago",0.103585682798315,1.41278996829282,26,59,0.0832330432744559
"Lactuca",0.0410217410758604,0.27899440544679,26,76,0.254585765574017
"Ainsliaea",0.113090161939588,1.00315061976893,25,69,0.0478714607421067
"Berkheya",0.0452925523309887,4.28144073239874,25,64,0.336941776040538
"Leucanthemum",0.0746932269767383,7.67428543731434,25,53,0.348496806716468
"Mikania",0.0396961997794411,0.442177571366453,25,68,0.62114632412558
"Oenanthe",0.0914623675038655,0.611339254173296,25,76,0.11615276389259
"Psiadia",0.0906561042742467,0.758377896641179,25,61,0.284830228209875
"Syncarpha",0.114601457218801,0.964713674207687,25,57,0.10567285137831
"Vernonia",0.0449373234269976,1.14848219741655,25,79,0.386031970681366
"Azorella",0.0544744506514769,0.376476181401388,24,81,0.191578063956449
"Jurinea",0.0413175402816,1.86091053378617,24,50,0.0976106165488508
"Leontopodium",0.0868689596712757,1.45267092300382,24,44,0.888646832573083
"Liatris",0.219352824133144,1.75898490931966,24,15,0.0484499928971692
"Arracacia",0.0847835305341355,0.595385176624765,23,70,0.140364714498604
"Burmeistera",0.0520837314046181,7.51114000813796,23,48,0.447376264804809
"Carlina",0.0427807094179795,0.693477078615967,23,55,0.671595094362417
"Craspedia",0.0850346527097043,2.65951207409776,23,51,0.0582847505943906
"Eupatorium",0.0658656343348747,0.833357671706274,23,58,0.336832971405019
"Geigeria",0.041330758991914,4.43163818597804,23,59,0.20887669458604
"Knautia",0.0726026173729761,1.12404667843561,23,53,0.132957059440496
"Peucedanum",0.026732486250297,0.433479505954152,23,78,0.138844545789773
"Dasyphyllum",0.0244781432068209,0.362000333347862,22,74,0.14437397247053
"Lysipomia",0.0335445307068165,2.13351997707648,22,73,0.244186849718339
"Montanoa",0.0395049043931298,0.444694617433055,22,54,0.765570488509248
"Sinosenecio",0.136489512245689,3.25972114982268,22,69,0.155621016116987
"Cheirolophus",0.0747760123596181,0.256521504810925,21,26,0.184451823877187
"Cymopterus",0.0241262438328148,5.4942819159485,21,74,0.324917137532887
"Nassauvia",0.0646554428244697,4.09171481357599,21,61,0.0714424477704417
"Phyteuma",0.0379357465802385,4.92804004526069,21,62,0.400069036262871
"Santolina",0.0663328607338648,0.391541042882306,20,34,0.434617929888172
"Scabiosa",0.044089960338775,1.70033636813026,20,48,0.209987702174323
"Scorzoneroides",0.0304266277064813,4.09268360864163,20,67,0.128289067008677
"Simsia",0.275225466458913,1.06449823449224,20,42,0.079026164734283
"Stoebe",0.0758324133741447,3.26337894885182,20,53,0.373002414808969
"Abrotanella",0.0333674069686201,0.599224042391068,19,57,0.592413720291751
"Adenophora",0.0712634430024321,0.666330900493118,19,49,0.337490792511188
"Carthamus",0.0717570406227479,2.3236782599773,19,42,0.403020977203052
"Dubautia",0.0770796231480539,0.421834704997909,19,35,0.499053312298543
"Eurybia",0.0597195650207016,1.03426037151454,19,37,0.581843413457681
"Hydrocotyle",0.0288276110539182,1.72023569044509,19,79,0.263157822462526
"Lechenaultia",0.0314294596910741,4.20855668258809,19,72,0.106058949294702
"Porophyllum",0.0896480184595247,4.4939690158043,19,68,0.228217052216112
"Brassaiopsis",0.07559085786478,2.60582064333119,18,55,0.320648412668931
"Cineraria",0.0722346771724089,0.783201405885917,18,27,0.398693905937902
"Daucus",0.0295872747323539,2.7896144663375,18,72,0.673523842202619
"Eremanthus",0.0856473911427793,7.05154011032675,18,56,0.0612362310944172
"Flaveria",0.0347971143141662,0.391835576492153,18,60,0.352047069232706
"Malacothrix",0.07388427730936,0.649487943926041,18,65,0.11778917106458
"Perezia",0.106871569529761,0.573218185358529,18,53,0.0669774652925775
"Phagnalon",0.122127847522698,0.467849822143814,18,38,0.476280557759692
"Picris",0.0355609304078462,0.319582357390904,18,65,0.222355813957537
"Valerianella",0.0404459310434262,0.225427133563696,18,74,0.528698184993649
"Bunium",0.0389651789871535,6.53134004330981,17,75,0.240705237108058
