"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"11","genus","Eryngium",0.0194718547335877,0.0550261720672305,122,8,130,15.797949,225.101862,0.0404301854771561,0.778617328164095,0.0797975367197166,5.56208382756842,45.0809496373138,45.0809496373138,0,0,0,2.80187161295654,0.354193301988556,1
"58","random_130_taxa","Eryngium_RandomTwin",0.0180659621638674,0.0414697802544576,91,39,130,105,3317.421201,0.0303996907397017,0.706134650154577,0.0117374749607398,0.0290588227823036,8.13330228508729,8.13330228508729,0,2.1330367857551,187.737748352632,0.0194298546841984,0.059940818528414,0
"12","genus","Ferula",0.0189139987899351,0.0419376260885459,72,3,75,5.359413,113.352081,0.0255024844258423,0.773277548951634,0.467119984241079,10.7407778217957,26.6677632350296,26.6677632350296,0,0,0,5.59032365439664,0.453295310069862,13
"59","random_75_taxa","Ferula_RandomTwin",0.0205559218405157,0.0507273401784013,53,22,75,105,2278.487988,0.0363635935088084,0.708576895922389,3.22063736320126,5.72403611096896,5.35619154612565,5.35619154612565,0,2.58376121510828,138.566049158387,4.47232563492584,0.0985879893052196,0
"13","genus","Goodenia",0.0185574632440206,0.0431851007934,64.5,22.5,87,25.144079,792.299191,0.0321940913848775,0.728907147345674,0.155662877863699,1.55477779778657,11.9030214312131,11.9030214312131,0,0,0,0.835471490498363,0.282058434850624,0
"60","random_87_taxa","Goodenia_RandomTwin",0.0211599322207711,0.053717284243765,62,25,87,105,2504.825768,0.0377041999998884,0.720720265715656,0.740947694594959,1.32838183411651,6.04169853701103,6.04169853701103,0,2.90933663102569,152.274703473686,1.0133277969971,0.0729663836040877,0
"41","family","Goodeniaceae",0.019484999876781,0.045465379646982,169.5,65.5,235,65.975028,1965.710612,0.0332031449049586,0.706256953412568,0.0071741929507807,0.0236924768147256,25.1679028393971,25.1679028393971,0,0,0,0.0135019623317545,0.106291032562714,0
"88","random_235_taxa","Goodeniaceae_RandomTwin",0.018335605685452,0.0426756913217353,167,68,235,105,4961.3367515,0.0308422277731182,0.701257735289606,0.00558511183837009,0.0144701568665764,14.9882108554178,14.9882108554178,0,1.38958818515522,232.782439698414,0.00935866583711047,0.0495449021297806,0
"14","genus","Helichrysum",0.0192094124196284,0.0438420004212526,149.5,15.5,165,14.06713,398.066526,0.0279997281107033,0.689224508079578,0.0291265892544102,0.930688259178284,56.4618795151546,56.4618795151546,0,0,0,0.474808700719993,0.39156440985895,0
"61","random_165_taxa","Helichrysum_RandomTwin",0.0188939760824479,0.0436726823173477,119,46,165,105,3870.645687,0.0320137748260839,0.706635792872188,0.00742711844834197,0.026787466794962,10.4705648019926,10.4705648019926,0,1.48362891961211,171.977361649616,0.0166035926409265,0.0535109442171035,0
"15","genus","Ilex",0.0195374490052097,0.0510851632332488,111.5,27.5,139,61.6,786.523452,0.0360726944835889,0.741496637745924,0.011773405691251,0.107716698766425,23.3799771884691,23.3799771884691,0,0,0,0.055185263235277,0.122298087747575,0
"62","random_139_taxa","Ilex_RandomTwin",0.0191966408687187,0.0466223727487703,99,40,139,105,3519.5003665,0.0332434277663891,0.713559687117175,0.0095840023596218,0.0226366029734534,8.88123660513352,8.88123660513352,0,1.79430860494993,197.625521779139,0.015328899763069,0.0560545485755342,0
"16","genus","Lobelia",0.0193698807011119,0.0485798219943684,58.5,23.5,82,64.795536,1086.720907,0.0331506941433702,0.708475452833113,0.0121983314526342,0.0389363990366563,9.6678369197598,9.6678369197598,0,0,0,0.0233285895342402,0.175558041952806,0
"63","random_82_taxa","Lobelia_RandomTwin",0.0207446919214872,0.0438298310503567,57.5,24.5,82,105,2412.2940185,0.0323984963710797,0.691537225487829,0.320504282158712,0.689666665832937,5.77437739877074,5.77437739877074,0,2.66535953153698,137.254314497651,0.503239109353167,0.0748782413927143,0
"17","genus","Lomatium",0.0274653656242439,0.0596838323608749,50,3,53,5.37804,147.673749,0.0457957588327267,0.713104129990994,0.686860413367065,1.13978991806904,19.2752523598357,19.2752523598357,0,0,0,0.672464529418211,0.404804603040524,7
"64","random_53_taxa","Lomatium_RandomTwin",0.0210544507201073,0.0485938340703122,38,15,53,103.086002,1758.4129295,0.0354576529465233,0.692916246216678,0.440900548158763,1.46652723857547,4.90980260460251,4.90980260460251,0,3.09165730458295,143.598370170112,0.932403734416746,0.165056447825361,0
"18","genus","Lonicera",0.0216965257555913,0.0514674208815703,62.5,18.5,81,18.852164,338.380197,0.0384366676924177,0.767589962014769,0.0282730524837758,0.386719220745107,16.5436551358074,16.5436551358074,0,0,0,0.197884693216339,0.331823009352018,0
